Papaver bracteatum
Sanguinaria canadensis
Chelidonium majus
Stylophorum diphyllum
Eschscholzia californica
Glaucium flavum
Argemone mexicana
Thalictrum flavum
Hydrastis canadensis
Nigella sativa
Xanthorhiza simplicissima
Berberis thunbergii
Mahonia aquifolium
Jeffersonia diphylla
Menispermum canadense
Corydalis cheilanthifolia
Nandina domestica
Cissampelos mucronata
Tinospora cordifolia
Cocculus trilobus
Petasites hybridus
Matricaria recutita
Valeriana officinalis
Citrus paradisi
Lippia dulcis
Arnica chamissonis
Arnica montana
Lactuca sativa
Xanthium strumarium
Ligularia fischeri
Thapsia garganica
Chrysanthemum coronarium
Artemisia chamaemelifolia
Artemisia absinthium
Artemisia maritima
Humulus lupulus
Primula obconica
Hypericum perforatum
Cannabis sativa
Piper methysticum
Helichrysum petiolare
Vancouveria hexandra
Rheum rhabarbarum
Hydrangea macrophylla
Pelargonium x hortorum
Prunella vulgaris
Platanus occidentalis
Centella asiatica
Saponaria vaccaria
Dianthus superbus
Silene vulgaris
Acacia victoriae
Diospyros kaki
Swietenia mahagoni
Cedrela sinensis (Toona sinensis)
Vinca minor
Rauwolfia serpentina
Camptotheca acuminata
Lonicera japonica
Cinchona ledgeriana
Catharanthus ovalis
Catharanthus longifolius
Tabernaemontana elegans
Amsonia hubrichtii
Catharanthus roseus
Abies balsamea
Grindelia integrifolia
Pseudolarix amabilis
Tripterygium wilfordii
Euphorbia peplus
Marrubium vulgare
Jatropha gossypiifolia
Coleus forskohlii
Rosmarinus officinalis
Isodon rubescens















